Season,Players,Type,Sold Price,Team,Overseas,Mat,Inns,No,Runs,Ave,BF,SR,Wickets
2021,Dhawal Kulkarni,BOW,0.75,Mumbai Indians,,1,1,1,0,-,0,-,0
2020,Dhawal Kulkarni,BOW,0.75,Mumbai Indians,,1,1,1,3,-,2,150,0
2024,Dhruv Jurel,BAT/WK,0.2,Rajasthan Royals,,15,11,3,195,24.37,141,138.29,0
2023,Dhruv Jurel,BAT/WK,0.2,Rajasthan Royals,,13,11,4,152,21.71,88,172.72,0
2022,Dhruv Jurel,BAT/WK,0.2,Rajasthan Royals,,0,0,0,0,0,0,0,0
2020,Digvijay Deshmukh,AR,0.2,Mumbai Indians,,0,0,0,0,0,0,0,0
2024,Dilshan Madushanka,BOW,4.6,Mumbai Indians,1,0,0,0,0,0,0,0,0
2024,Dinesh Karthik,BAT/WK,5.5,Royal Challengers Bangalore,,15,13,4,326,36.22,174,187.35,0
2023,Dinesh Karthik,BAT/WK,5.5,Royal Challengers Bangalore,,13,13,1,140,11.66,104,134.61,0
2022,Dinesh Karthik,BAT/WK,5.5,Royal Challengers Bangalore,,16,16,10,330,55,180,183.33,0
2021,Dinesh Karthik,BAT/WK,7.4,Kolkata Knight Riders,,17,15,5,223,22.3,170,131.17,0
2020,Dinesh Karthik,BAT/WK,7.4,Kolkata Knight Riders,,14,14,2,169,14.08,134,126.11,0
2022,Dominic Drakes,AR,1.2,Gujarat Titans,1,0,0,0,0,0,0,0,0
2024,Donovan Ferreira,BAT/WK,0.5,Rajasthan Royals,1,2,2,0,8,4,11,72.72,0
2023,Donovan Ferreira,BAT/WK,0.5,Rajasthan Royals,1,0,0,0,0,0,0,0,0
2023,Duan Jansen,AR,0.2,Mumbai Indians,1,1,-,-,-,-,-,-,1
2022,Dushmantha Chameera,BOW,2,Lucknow Super Giants,1,12,8,4,43,10.75,28,153.57,9
2023,Dwaine Pretorius,AR,0.5,Chennai Super Kings,1,1,-,-,-,-,-,-,0
2022,Dwaine Pretorius,AR,0.5,Chennai Super Kings,1,6,5,1,44,11,28,157.14,6
2022,Dwayne Bravo,AR,4.4,Chennai Super Kings,1,10,6,4,23,11.5,24,95.83,16
2021,Dwayne Bravo,AR,6.4,Chennai Super Kings,1,11,3,2,47,47,18,261.11,14
2020,Dwayne Bravo,AR,6.4,Chennai Super Kings,1,6,2,0,7,3.5,6,116.66,6
2021,Eoin Morgan,BAT,5.25,Kolkata Knight Riders,1,17,16,4,133,11.08,139,95.68,0
2020,Eoin Morgan,BAT,5.25,Kolkata Knight Riders,1,14,14,4,418,41.8,302,138.41,0
2022,Evin Lewis,BAT,2,Lucknow Super Giants,1,6,5,2,73,24.33,56,130.35,0
2022,Fabian Allen,AR,0.75,Mumbai Indians,1,1,1,0,8,8,7,114.28,1
2021,Fabian Allen,AR,0.75,Punjab Kings,1,4,3,2,6,6,12,50,1
2020,Fabian Allen,AR,0.5,Sunrisers Hyderabad,1,0,0,0,0,0,0,0,0
2024,Faf du Plessis,BAT,7,Royal Challengers Bangalore,1,15,15,0,438,29.2,271,161.62,0
2023,Faf du Plessis,BAT,7,Royal Challengers Bangalore,1,14,14,1,730,56.15,475,153.68,0
2022,Faf du Plessis,BAT,7,Royal Challengers Bangalore,1,16,16,1,468,31.2,367,127.52,0
2021,Faf du Plessis,BAT,1.6,Chennai Super Kings,1,16,16,2,633,45.21,458,138.2,0
2020,Faf du Plessis,BAT,1.6,Chennai Super Kings,1,13,13,2,449,40.81,319,140.75,0
2024,Fazalhaq Farooqi,BOW,0.5,Sunrisers Hyderabad,1,0,0,0,0,0,0,0,0
2023,Fazalhaq Farooqi,BOW,0.5,Sunrisers Hyderabad,1,4,1,1,1,-,5,20,4
2022,Fazalhaq Farooqi,BOW,0.5,Sunrisers Hyderabad,1,3,1,1,2,-,8,25,2
2023,Finn Allen,BAT,0.8,Royal Challengers Bangalore,1,0,0,0,0,0,0,0,0
2022,Finn Allen,BAT,0.8,Royal Challengers Bangalore,1,0,0,0,0,0,0,0,0
2024,Gerald Coetzee,AR,5,Mumbai Indians,1,10,5,1,14,3.5,22,63.63,13
2024,Glenn Maxwell,AR,11,Royal Challengers Bangalore,1,10,9,0,52,5.77,43,120.93,6
2023,Glenn Maxwell,AR,11,Royal Challengers Bangalore,1,14,14,2,400,33.33,218,183.48,3
2022,Glenn Maxwell,AR,11,Royal Challengers Bangalore,1,13,13,2,301,27.36,178,169.1,6
2021,Glenn Maxwell,AR,14.25,Royal Challengers Bangalore,1,15,14,2,513,42.75,356,144.1,3
2020,Glenn Maxwell,AR,10.75,Punjab Kings,1,13,11,4,108,15.42,106,101.88,3
2024,Glenn Phillips,BAT/WK,1.5,Sunrisers Hyderabad,1,0,0,0,0,0,0,0,0
2023,Glenn Phillips,BAT/WK,1.5,Sunrisers Hyderabad,1,5,5,0,39,7.8,22,177.27,1
2022,Glenn Phillips,BAT/WK,1.5,Sunrisers Hyderabad,1,0,0,0,0,0,0,0,0
2022,Gurkeerat Singh Mann,AR,0.5,Gujarat Titans,,0,0,0,0,0,0,0,0
2020,Gurkeerat Singh Mann,AR,0.5,Royal Challengers Bangalore,,8,5,5,71,-,80,88.75,0
2024,Gus Atkinson,BOW,1,Kolkata Knight Riders,1,0,0,0,0,0,0,0,0
2021,Harbhajan Singh,BOW,2,Kolkata Knight Riders,,3,2,2,4,-,4,100,0
2020,Harbhajan Singh,BOW,2,Chennai Super Kings,,0,0,0,0,0,0,0,0
2024,Hardik Pandya,AR,15,Mumbai Indians,,14,13,1,216,18,151,143.04,11
2023,Hardik Pandya,AR,15,Gujarat Titans,,16,15,4,346,31.45,253,136.75,3
2022,Hardik Pandya,AR,15,Gujarat Titans,,15,15,4,487,44.27,371,131.26,8
2021,Hardik Pandya,AR,11,Mumbai Indians,,12,11,2,127,14.11,112,113.39,0
2020,Hardik Pandya,AR,11,Mumbai Indians,,14,13,5,281,35.12,157,178.98,0
2020,Hardus Viljoen,BOW,0.75,Punjab Kings,1,0,0,0,0,0,0,0,0
2022,Hari Nishaanth,BAT,0.2,Chennai Super Kings,,0,0,0,0,0,0,0,0
2021,Harishankar Reddy,BOW,0.2,Chennai Super Kings,,0,0,0,0,0,0,0,0
2023,Harpreet Bhatia,BAT,0.4,Punjab Kings,,3,3,0,76,25.33,59,128.81,0
2024,Harpreet Brar,AR,3.8,Punjab Kings,,13,7,5,75,37.5,54,138.88,7
2023,Harpreet Brar,AR,3.8,Punjab Kings,,13,8,2,52,8.66,41,126.82,9
2022,Harpreet Brar,AR,3.8,Punjab Kings,,5,3,0,22,7.33,25,88,4
2021,Harpreet Brar,AR,0.2,Punjab Kings,,7,5,5,64,-,58,110.34,5
2020,Harpreet Brar,AR,0.2,Punjab Kings,,1,-,-,-,-,-,-,0
2024,Harry Brook,BAT,4,Delhi Capitals,1,0,0,0,0,0,0,0,0
2023,Harry Brook,BAT,13.25,Sunrisers Hyderabad,1,11,11,2,190,21.11,154,123.37,0
2020,Harry Gurney,BOW,0.75,Kolkata Knight Riders,1,0,0,0,0,0,0,0,0
2024,Harshal Patel,AR,11.75,Punjab Kings,,14,4,1,13,4.33,19,68.42,24
2023,Harshal Patel,AR,10.75,Royal Challengers Bangalore,,14,2,0,6,3,6,100,14
2022,Harshal Patel,AR,10.75,Royal Challengers Bangalore,,15,8,3,43,8.6,39,110.25,19
2021,Harshal Patel,AR,0.2,Royal Challengers Bangalore,,15,8,4,59,14.75,46,128.26,32
2020,Harshal Patel,AR,0.2,Delhi Capitals ,,5,2,0,21,10.5,24,87.5,3
2024,Harshit Rana,BOW,0.2,Kolkata Knight Riders,,13,-,-,-,-,-,-,19
2023,Harshit Rana,BOW,0.2,Kolkata Knight Riders,,6,1,0,0,0,1,0,5
2024,Heinrich Klaasen,BAT/WK,5.25,Sunrisers Hyderabad,1,16,15,3,479,39.91,280,171.07,0
